Feature,Importance
roll30_mean,0.3307061
Promo,0.22640418
lag1,0.20966539
DayOfWeek,0.043409344
roll7_mean,0.026303776
Week,0.019072382
IsWeekend,0.017190687
Day,0.015486943
StoreType,0.014161788
Month,0.012743133
lag30,0.007806107
lag14,0.0073574814
SchoolHoliday,0.0068221116
Year,0.0067698723
Quarter,0.0065637357
Promo2,0.006407445
Assortment,0.0060170176
CompetitionDistance,0.005261034
Promo2SinceYear,0.00504549
lag7,0.0045577954
Promo2SinceWeek,0.004428112
IsHoliday,0.0040188506
Store,0.003774573
CompetitionOpenSinceMonth,0.0034950983
CompetitionOpenSinceYear,0.0034669116
HasCompetition,0.0030646392
